"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","170","170","160","160","160","160","160","160","150","140","130","125","120","110","100","100","100","100","100","100","","","",
"Brunei Darussalam","BRN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","210","210","210","240","240","230","230","240","240","240","190","180","180","180","180","170","150","150","150","150","150","140","140","130","130","130","130","130","130","130","130","130","130","130","120","120","120","120","120","120","130","130","130","130","130","123","124","124","134","134","134","134","134","134","134","134","134","134","134","134","134","","","",
"Bhutan","BTN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3610","3630","3630","3650","3660","3680","3680","3700","3700","3820","3820","3850","3850","3920","3920","3980","4000","4000","4050","4130","4130","4180","4300","4440","4440","4440","4650","4600","4520","4540","5040","5040","5050","5090","5650","5700","5720","5720","5720","5780","5790","5800","5830","5840","5930","5770","5630","5213","5200","5200","5196","5196","5196","5256","5256","5190","5130","5130","5130","5130","5130","","","",
"Botswana","BWA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260000","260000","260000","260000","260010","260010","260010","260010","260010","260010","260010","260020","260020","260020","260020","260020","260020","260020","260040","260040","260040","260060","260060","260060","260080","260080","260100","260100","260150","260210","259010","258510","259510","259960","259460","259460","259010","258310","258410","259510","258010","258460","257960","258270","258150","258030","257840","258810","259180","258610","259260","258870","258820","260040","258616","258616","258616","258616","258620","258620","258620","","","",
"Central African Republic","CAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","47380","47480","47560","47700","47800","47900","48000","48100","48200","48300","48400","48500","48600","48700","48900","49000","49100","49200","49300","49450","49450","49500","49500","49520","49530","49540","49550","49560","49560","49560","49580","49600","49600","49600","49500","49500","49500","49500","49500","49520","49520","49520","49450","49450","49450","49400","49400","49400","49360","49070","48750","48800","48860","49070","49070","49070","49070","49090","49090","49090","49100","","","",
"Canada","CAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","618430","622800","627170","631540","635910","637010","635660","634310","632960","631610","630230","630500","630770","631040","631310","631589.9","627850","624100","620350","616600","612900","612120","611340","610560","609780","608988.92","610250","611510","612770","614030","615332.464","614650","613970","613290","612610","611920","612150","612390","612630","612870","613081.608","620910","619460","618010","616560","605840","600080","594320","588560","582800","576997","577710","578420","579130","579850","580500","578676","578892","576878","571174","569910","","","",
"Central Europe and the Baltics","CEB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","646680","646360","645740","646120","644720","645000","644230","645220","644240","643470","642960","641710","640360","639950","638840","640980","640430","639740","638610","637680","636270","636070","635970","636460","636310","635950","636280","635770","632060","631840","631610","628120","624860","621440","615910","610780","610260","605100","604520","591050","575370","556442.6","547221.2","539010.9","539333.9","537651.5","526982","529461.7","529073.9","519523.8","521343.5","517581.8","518923.1","518221.4","519245.9","516233.8","515348.6","516300","521123.39","511648.336","510365.428","502575.168","","",
"Switzerland","CHE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17363","17334","17192","17104","17016","16957","16888","16861","16874","16739","16654","16628","16537","16475","16438","16426","16414","16449","16587.287","16533.566","16489.882","16441.394","16393.05","16344.562","16290.524","16248.017","16199.958","16152.041","16104.266","16050.303","16009.14","15961.788","15914.576","15867.503","15820.57","15783.105","15752.201","15721.444","15688.881","15658.165","15627.446","15597.256","15566.689","15535.559","15504.631","15474.187","15443.686","15410.273","15376.983","15344.107","15311.226","15278.375","15245.633","15212.778","15180.055","15147.463","15116.339","15085.727","15055.158","15024.369","14993.783","","","",
"Channel Islands","CHI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","89","89","89","89","88","88","88","88","88","87","87","87","87","87","86","86","86","86","86","85","85","85","85","85","84","84","84","84","81","80","79","79","75","74","74","75","76","84","82","81","88","91.1","96.1","95.6","94.6","95.2","92.6","92.9","92.2","85.7","85.7","85.7","85.7","","","",
"Chile","CHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","133860","135560","137260","138980","140690","142380","144580","146780","148480","151000","153500","156000","158380","162500","165500","172000","171000","170000","169000","168500","167500","166000","165500","165000","164720","164360","161630","161540","161690","158990","157890","155560","154770","154500","153300","152320","152220","152190","150600","151100","151500","155650","154250","159350","158850","158000","157320","153654.74","149989.49","146314.22","142648.96","138983.7","135318.45","131653.19","127977.92","124312.67","120647.41","116982.15","113306.88","109641.63","105955.37","","","",
