Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1981,1402,567,1183,478,61.1,3150,65313,1363,Maha,0.8430335097001763,50.55811164901961,64.50506032282912,150.63010930686275,189.14321198319328,478.0425609369748,528.6036298011204,80.78047099929972,15099414.0,0.016934296894647,17.9689954960101,0,3005.0,53.83064299178711,1
1981,692,280,671,272,56.9,2934,33884,707,Yala,0.9714285714285714,42.34463082625686,43.15622566074509,126.96544285374507,129.96097507040392,352.3422622596078,394.66575780058827,98.44623639803922,15099414.0,0.016934296894647,17.9689954960101,0,2887.0,53.83064299178711,1
1982,1440,583,1381,558,70.55,3638,85594,1786,Maha,0.9571183533447684,54.377812647338935,64.50506032282912,158.14980004537816,193.14594800420167,429.12048312464987,575.0589468879551,71.5502144684874,15286567.0,0.0123947194242106,10.8257491675687,0,3150.0,64.50506032282912,0
1982,684,277,661,267,64.63,3332,37999,793,Yala,0.9638989169675092,33.22551276197844,43.15622566074509,101.6734532204902,129.96097507040392,287.9415233368628,394.66575780058827,76.91550850392157,15286567.0,0.0123947194242106,10.8257491675687,0,2934.0,43.15622566074509,0
1983,1499,606,1258,509,58.79,3031,65154,1353,Maha,0.8399339933993399,43.52488793179272,64.50506032282912,117.3343753130252,193.14594800420167,425.22475958823526,575.0589468879551,65.13787350140056,15388794.0,0.0066873746080464,13.9643880065001,0,3638.0,64.50506032282912,1
1983,596,241,541,219,69.89,3604,33433,698,Yala,0.908713692946058,26.120779119462743,43.15622566074509,74.11008121517646,129.96097507040392,192.90517855549015,394.66575780058827,71.16665696960784,15388794.0,0.0066873746080464,13.9643880065001,0,3332.0,43.15622566074509,1
1984,1405,569,1382,559,67.84,3498,83927,1751,Maha,0.9824253075571178,81.66915215420168,64.50506032282912,257.0267059910364,193.14594800420167,682.2466132408963,575.0589468879551,163.25276174467783,15441860.0,0.0034483533927349,16.6382537479217,0,3031.0,64.50506032282912,0
1984,948,384,931,377,61.02,3146,50814,1060,Yala,0.9817708333333334,41.89111489981372,43.15622566074509,138.43532894697842,129.96097507040392,539.8049327398039,394.66575780058827,100.0748989862745,15441860.0,0.0034483533927349,16.6382537479217,0,3604.0,43.15622566074509,0
1985,1372,555,1302,527,69.54,3585,80817,1688,Maha,0.9495495495495496,56.00904137380952,64.50506032282912,163.3313503557423,193.14594800420167,480.62228048739496,575.0589468879551,97.00833903291316,15544154.0,0.0066244610429053,1.48118012235429,0,3498.0,64.50506032282912,0
1985,771,312,757,305,64.83,3343,43625,910,Yala,0.9775641025641024,32.42296219739608,43.15622566074509,102.5161261923588,129.96097507040392,344.1055924454902,394.66575780058827,82.62433568039216,15544154.0,0.0066244610429053,1.48118012235429,0,3146.0,43.15622566074509,0
